ts,arm,family,template,item_id,rep,temperature,n_attempts,n_conv_attempts,lat_total_ms,conv_lat_ms,score,gate_pass,f0_ok,v_in,v_out,f_tok,r_in,r_out,k_in,k_out,k_rin,k_rout,f_conv_tok,f_exec_tok,doc_valid,kerr_flag,conv_errors,detail,final_error,transport_fail,raw_path,rerun
2026-08-25T22:23:54,JSON,CP,CP-04,CP-04-00,0,0.7,1,0,13259,0,1.0,True,True,238,605,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true, ""s1_GH_pref"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-00_r0.json,0
2026-08-25T22:23:57,CSIR-SIR,CP,CP-03,CP-03-01,1,0.7,4,3,11582,112796,0.2857,False,True,155,417,295,0,0,1620,2048,3296,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": false, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-01_r1.json,0
2026-08-25T22:24:06,CSIR-SIR,CP,CP-03,CP-03-01,2,0.7,5,3,16776,101319,0.2857,False,True,155,426,295,470,194,1620,2048,3296,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": false, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-01_r2.json,0
2026-08-25T22:24:17,JSON,CP,CP-04,CP-04-00,1,0.7,1,0,19844,0,1.0,True,True,238,828,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true, ""s1_GH_pref"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-00_r1.json,0
2026-08-25T22:24:26,JSON,CP,CP-04,CP-04-00,2,0.7,1,0,9100,0,1.0,True,True,238,468,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true, ""s1_GH_pref"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-00_r2.json,0
2026-08-25T22:25:49,CSIR-SIR,CP,CP-04,CP-04-00,1,0.7,4,3,6885,108529,0.0,False,True,167,210,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_all_seated_once"": false, ""h2_host_seat1"": false, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": false, ""s1_GH_pref"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-04-00_r1.json,0
2026-08-25T22:26:13,CSIR-SIR,CP,CP-04,CP-04-00,0,0.7,4,3,6606,95679,0.0,False,True,167,178,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_all_seated_once"": false, ""h2_host_seat1"": false, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": false, ""s1_GH_pref"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-04-00_r0.json,0
2026-08-25T22:27:10,JSON,CP,CP-04,CP-04-01,0,0.7,1,0,20320,0,1.0,True,True,225,745,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-01_r0.json,0
2026-08-25T22:27:30,JSON,CP,CP-04,CP-04-01,1,0.7,1,0,17452,0,1.0,True,True,225,477,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-01_r1.json,0
2026-08-25T22:28:47,CSIR-SIR,CP,CP-04,CP-04-01,1,0.7,4,3,7747,119481,0.0,False,True,167,229,295,0,0,1610,2048,3276,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_all_seated_once"": false, ""h2_host_seat1"": false, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-04-01_r1.json,0
